"ZIPCODE","total_count","population","urticaria_count","urticaria_prev","black_urticaria_count","white_urticaria_count","black_urticaria_prev","white_urticaria_prev","heat_exhaustion_count","heat_exhaustion_prev","black_heat_exhaustion_count","white_heat_exhaustion_count","black_heat_exhaustion_prev","white_heat_exhaustion_prev","heat_syncope_count","heat_syncope_prev","black_heat_syncope_count","white_heat_syncope_count","black_heat_syncope_prev","white_heat_syncope_prev","heat_cramps_count","heat_cramps_prev","black_heat_cramps_count","white_heat_cramps_count","black_heat_cramps_prev","white_heat_cramps_prev","carbon_monoxide_count","carbon_monoxide_prev","black_carbon_monoxide_count","white_carbon_monoxide_count","black_carbon_monoxide_prev","white_carbon_monoxide_prev","heatstroke_count","heatstroke_prev","black_heatstroke_count","white_heatstroke_count","black_heatstroke_prev","white_heatstroke_prev","all_effects_heat_count","all_effects_heat_prev","black_all_effects_heat_count","white_all_effects_heat_count","black_all_effects_heat_prev","white_all_effects_heat_prev","hypothermia_count","hypothermia_prev","black_hypothermia_count","white_hypothermia_count","black_hypothermia_prev","white_hypothermia_prev","osteoarthritis_count","osteoarthritis_prev","black_osteoarthritis_count","white_osteoarthritis_count","black_osteoarthritis_prev","white_osteoarthritis_prev","kidney_disease_count","kidney_disease_prev","black_kidney_disease_count","white_kidney_disease_count","black_kidney_disease_prev","white_kidney_disease_prev","mental_illness_count","mental_illness_prev","black_mental_illness_count","white_mental_illness_count","black_mental_illness_prev","white_mental_illness_prev","influenza_count","influenza_prev","black_influenza_count","white_influenza_count","black_influenza_prev","white_influenza_prev","acute_bronchitis_count","acute_bronchitis_prev","black_acute_bronchitis_count","white_acute_bronchitis_count","black_acute_bronchitis_prev","white_acute_bronchitis_prev","bronchitis_count","bronchitis_prev","black_bronchitis_count","white_bronchitis_count","black_bronchitis_prev","white_bronchitis_prev","copd_count","copd_prev","black_copd_count","white_copd_count","black_copd_prev","white_copd_prev","asthma_count","asthma_prev","black_asthma_count","white_asthma_count","black_asthma_prev","white_asthma_prev","respiratory_count","respiratory_prev","black_respiratory_count","white_respiratory_count","black_respiratory_prev","white_respiratory_prev","hypertension_count","hypertension_prev","black_hypertension_count","white_hypertension_count","black_hypertension_prev","white_hypertension_prev","heart_attack_count","heart_attack_prev","black_heart_attack_count","white_heart_attack_count","black_heart_attack_prev","white_heart_attack_prev","cerebrovascular_disease_count","cerebrovascular_disease_prev","black_cerebrovascular_disease_count","white_cerebrovascular_disease_count","black_cerebrovascular_disease_prev","white_cerebrovascular_disease_prev","congestive_artery_disease_count","congestive_artery_disease_prev","black_congestive_artery_disease_count","white_congestive_artery_disease_count","black_congestive_artery_disease_prev","white_congestive_artery_disease_prev","angina_pectoris_count","angina_pectoris_prev","black_angina_pectoris_count","white_angina_pectoris_count","black_angina_pectoris_prev","white_angina_pectoris_prev","heart_disease_count","heart_disease_prev","black_heart_disease_count","white_heart_disease_count","black_heart_disease_prev","white_heart_disease_prev","circulatory_count","circulatory_prev","black_circulatory_count","white_circulatory_count","black_circulatory_prev","white_circulatory_prev","thyroid_count","thyroid_prev","black_thyroid_count","white_thyroid_count","black_thyroid_prev","white_thyroid_prev","diabetes_count","diabetes_prev","black_diabetes_count","white_diabetes_count","black_diabetes_prev","white_diabetes_prev"
"CITYWIDE",775928,30037,740,0.000953696734748585,313,316,0.000796918243317217,0.00111330719175307,84,0.000108257467187677,53,26,0.000134941427782149,9.16012246379109e-05,6,7.73267622769123e-06,5,1,1.27303233756744e-05,3.52312402453504e-06,1,1.28877937128187e-06,1,0,2.54606467513488e-06,0,93,0.000119856481529214,43,44,0.0001094807810308,0.000155017457079542,64,8.24818797620398e-05,33,24,8.4020134279451e-05,8.45549765888409e-05,157,0.000202338361291254,91,53,0.000231691885437274,0.000186725573300357,1116,0.00143827777835057,657,343,0.00167276449156361,0.00120843154041552,74342,0.0958104360198369,33793,32548,0.0860391635668329,0.114670640750566,175847,0.226627986101803,101627,55961,0.258748914739932,0.197157543537005,376927,0.485775742079162,190834,146547,0.485875706214689,0.516303256423536,4795,0.00617969708529657,2667,1726,0.00679035448858472,0.00608091206634747,7147,0.00921090616655154,3639,2680,0.00926512935281582,0.0094419723857539,25421,0.0327620603973565,11332,9690,0.0288520048986284,0.0341390717977445,195023,0.251341619325504,104136,70185,0.265136991009846,0.247270459661991,95367,0.122907022301038,61520,24166,0.156633898814298,0.0851398151769137,285024,0.367333051520244,149545,103971,0.380751241843045,0.366302727954932,406037,0.523292109577177,219118,143248,0.557888599486204,0.504680470266595,21902,0.0282268457898156,9573,9591,0.0243734771350662,0.0337902825193155,57569,0.0741937396253261,31889,18801,0.0811914564253761,0.0662382547852832,73790,0.0950990298068893,36950,24523,0.0940770897462337,0.0863975704536727,2103,0.00271030301780578,1007,720,0.00256388712786082,0.00253664929766523,456018,0.587706591333216,238392,167363,0.606961450034754,0.589640606118257,476291,0.613834015527214,247435,176219,0.629985512891998,0.62084139247954,74789,0.0963865203987999,26780,39337,0.068183612000112,0.138589129753135,195098,0.251438277778351,110760,61880,0.282002123417939,0.218010914638228
"21201",14359,16595,11,0.000766070060589178,5,4,0.000501152651097524,0.0012924071082391,0,0,0,0,0,0,1,6.96427327808343e-05,1,0,0.000100230530219505,0,0,0,0,0,0,0,5,0.000348213663904172,2,2,0.00020046106043901,0.000646203554119548,3,0.000208928198342503,2,1,0.00020046106043901,0.000323101777059774,4,0.000278570931123337,3,1,0.000300691590658515,0.000323101777059774,35,0.0024374956473292,23,9,0.00230530219504861,0.00290791599353796,1179,0.0821087819486037,888,234,0.0890047108349203,0.0756058158319871,3237,0.225433526011561,2589,454,0.259496842738298,0.146688206785137,7998,0.557002576781113,5613,1941,0.562593966122081,0.627140549273021,95,0.00661605961417926,76,14,0.00761752029668237,0.00452342487883683,103,0.00717320147642593,82,14,0.0082189034779994,0.00452342487883683,447,0.0311303015530329,326,91,0.0326751528515586,0.0294022617124394,4179,0.291036980291107,3157,800,0.316427783902977,0.258481421647819,2238,0.155860435963507,1775,335,0.177909191139621,0.108239095315024,5798,0.403788564663277,4262,1178,0.42718251979553,0.380613893376414,7496,0.522041924925134,5839,1269,0.585246065951689,0.410016155088853,316,0.0220071035587436,229,62,0.0229527914202666,0.020032310177706,1017,0.0708266592381085,796,162,0.0797835020547259,0.0523424878836834,1266,0.0881676997005362,994,193,0.0996291470381878,0.0623586429725363,47,0.00327320844069921,36,7,0.00360829908790217,0.00226171243941842,8335,0.580472177728254,6351,1515,0.636564097424075,0.489499192245557,8752,0.609513197297862,6564,1670,0.65791320036083,0.539579967689822,1111,0.0773730761195069,707,315,0.0708629848651899,0.101777059773829,3721,0.259140608677485,2957,560,0.296381677859076,0.180936995153473
"21202",15788,21788,16,0.00101342791993919,12,2,0.00108361928842333,0.000585651537335285,2,0.000126678489992399,1,1,9.03016073686112e-05,0.000292825768667643,0,0,0,0,0,0,0,0,0,0,0,0,5,0.000316696224980998,2,2,0.000180603214737222,0.000585651537335285,2,0.000126678489992399,1,1,9.03016073686112e-05,0.000292825768667643,5,0.000316696224980998,3,2,0.000270904822105833,0.000585651537335285,37,0.00234355206485939,28,9,0.00252844500632111,0.00263543191800878,1199,0.0759437547504434,894,218,0.0807296369875384,0.0638360175695461,3452,0.218647073726881,2828,416,0.255372945638432,0.121815519765739,9234,0.584874588294908,6412,2260,0.579013906447535,0.661786237188873,107,0.00677729921459336,76,20,0.00686292216001445,0.00585651537335286,86,0.00544717506967317,64,17,0.00577930287159111,0.00497803806734993,377,0.0238788953635673,251,94,0.0226657034495214,0.0275256222547584,4220,0.267291613883962,3259,717,0.294292938414304,0.2099560761347,2399,0.151950848745883,1993,252,0.179971103485642,0.073792093704246,5902,0.37382822396757,4441,1073,0.401029438324002,0.314202049780381,8028,0.508487458829491,6241,1284,0.563572331587502,0.375988286969253,417,0.0264124651634153,316,63,0.0285353079284811,0.0184480234260615,1004,0.0635926019761844,766,171,0.0691710312443562,0.0500732064421669,1419,0.0898783886496073,1105,211,0.0997832761423153,0.0617862371888726,46,0.00291360526982518,33,7,0.00297995304316417,0.0020497803806735,8970,0.568153027615911,6810,1572,0.614953946180242,0.460322108345534,9465,0.59950595388903,7098,1721,0.640960809102402,0.503953147877013,1080,0.0684063845958956,713,287,0.0643850460538198,0.0840409956076135,3907,0.247466430200152,3077,538,0.277858045873217,0.157540263543192
"21205",16770,14766,27,0.00161001788908766,15,6,0.00133892707310542,0.00174418604651163,1,5.96302921884317e-05,1,0,8.92618048736945e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.96302921884317e-05,0,1,0,0.000290697674418605,2,0.000119260584376863,2,0,0.000178523609747389,0,3,0.000178890876565295,3,0,0.000267785414621084,0,23,0.00137149672033393,16,7,0.00142818887797911,0.00203488372093023,1429,0.0852116875372689,910,437,0.081228242435062,0.12703488372093,3801,0.226654740608229,2860,696,0.255288761938766,0.202325581395349,9078,0.541323792486583,6033,2369,0.538516468802999,0.688662790697674,130,0.00775193798449612,97,18,0.00865839507274837,0.00523255813953488,110,0.00655933214072749,65,28,0.00580201731679015,0.00813953488372093,513,0.0305903398926655,259,188,0.0231188074622869,0.0546511627906977,5238,0.312343470483005,3557,1349,0.317504239935732,0.392151162790698,2822,0.168276684555754,2210,405,0.197268588770865,0.117732558139535,6830,0.407274895646989,4630,1666,0.413282156565206,0.484302325581395,8552,0.509958258795468,6035,1907,0.538694992412747,0.554360465116279,602,0.0358974358974359,403,161,0.0359725073640989,0.0468023255813953,1112,0.0663088849135361,818,227,0.0730161563866821,0.0659883720930233,1654,0.0986285032796661,1146,389,0.102294028385254,0.113081395348837,61,0.00363744782349434,45,11,0.00401678121931625,0.00319767441860465,9554,0.569707811568277,6633,2219,0.592073551727216,0.645058139534884,9978,0.594991055456172,6914,2309,0.617156118896724,0.671220930232558,1261,0.0751937984496124,706,434,0.0630188342408284,0.126162790697674,4159,0.248002385211688,2932,876,0.261715611889672,0.254651162790698
"21206",37807,51287,37,0.00097865474647552,23,11,0.000997700949984818,0.00129168623767027,5,0.000132250641415611,3,2,0.000130134906519759,0.000234852043212776,0,0,0,0,0,0,0,0,0,0,0,0,2,5.29002565662443e-05,1,1,4.33783021732529e-05,0.000117426021606388,0,0,0,0,0,0,5,0.000132250641415611,3,2,0.000130134906519759,0.000234852043212776,40,0.00105800513132489,25,5,0.00108445755433132,0.00058713010803194,3387,0.0895865844949348,1752,1084,0.0759987854075392,0.127289807421325,8850,0.234083635305631,5520,1856,0.239448227996356,0.217942696101456,17207,0.455127357367683,9716,4731,0.421463583915326,0.555542508219822,253,0.00669188245562991,167,65,0.00724417646293324,0.00763269140441522,335,0.00886079297484593,181,98,0.00785147269335878,0.011507750117426,1178,0.0311582511175179,588,269,0.0255064416778727,0.0315875998121184,9620,0.254450234083635,5718,2271,0.24803713182666,0.266674495068107,4995,0.132118390774195,3505,738,0.152040949117252,0.0866604039455143,13892,0.367445182109133,8197,3301,0.355571942914154,0.387623297322687,19631,0.519242468325971,11484,4745,0.498156422157637,0.557186472522311,1096,0.0289893405983019,634,272,0.0275018435778424,0.0319398778769375,2771,0.0732933054725315,1652,613,0.0716609551902139,0.0719821512447158,3586,0.0948501600232761,1857,678,0.0805535071357307,0.079614842649131,114,0.00301531462427593,61,20,0.00264607643256843,0.00234852043212776,22093,0.584362684159018,12649,5571,0.548692144189476,0.654180366369187,23164,0.612690771550242,13238,5885,0.574241964169522,0.691052137153593,3147,0.0832385537069855,1337,1233,0.0579967900056392,0.144786284640676,9926,0.262543973338271,6060,2125,0.262872511169913,0.249530295913574
"21207",34990,48243,24,0.000685910260074307,21,2,0.00075498831565702,0.000383729854182655,5,0.000142897970848814,5,0,0.000179759122775481,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.85795941697628e-05,1,0,3.59518245550962e-05,0,5,0.000142897970848814,5,0,0.000179759122775481,0,9,0.000257216347527865,9,0,0.000323566420995866,0,38,0.00108602457845099,36,2,0.00129426568398346,0.000383729854182655,3454,0.0987139182623607,2711,584,0.0974653963688657,0.112049117421335,8826,0.252243498142326,7469,1066,0.268524177602013,0.204528012279355,14396,0.411431837667905,11169,2671,0.401545928455869,0.512471220260936,243,0.00694484138325236,207,29,0.00744202768290491,0.0055640828856485,388,0.011088882537868,299,67,0.0107495955419738,0.012854950115119,1101,0.0314661331809088,810,245,0.0291209778896279,0.0470069071373753,7807,0.223120891683338,6201,1329,0.222937264066151,0.254988488104375,4281,0.122349242640755,3617,502,0.130037749415783,0.0963161933998465,12129,0.346641897685053,9625,2028,0.346036311342801,0.389102072141213,19930,0.569591311803372,16350,2834,0.587812331475822,0.543745203376823,822,0.023492426407545,668,133,0.0240158188028042,0.0255180353031466,2802,0.0800800228636753,2305,374,0.0828689555994967,0.0717574827321566,3554,0.101571877679337,2848,565,0.102390796332914,0.1084036838066,90,0.00257216347527865,72,14,0.00258853136796692,0.00268610897927859,21783,0.622549299799943,17659,3311,0.634873269818443,0.635264773599386,22554,0.64458416690483,18226,3459,0.655257954341183,0.663660782808903,3126,0.0893398113746785,2203,791,0.0792018694948769,0.15176515732924,10179,0.290911689054015,8555,1195,0.307567859068848,0.229278587874137
"21208",24307,36797,18,0.000740527420084749,7,10,0.000720016457519029,0.000751484181257984,2,8.2280824453861e-05,0,2,0,0.000150296836251597,0,0,0,0,0,0,0,0,0,0,0,0,1,4.11404122269305e-05,0,1,0,7.51484181257984e-05,2,8.2280824453861e-05,1,1,0.00010285949393129,7.51484181257984e-05,4,0.000164561648907722,1,3,0.00010285949393129,0.000225445254377395,22,0.000905089068992471,13,9,0.00133717342110677,0.000676335763132186,3154,0.129756860163739,1037,2007,0.106665295206748,0.150822875178478,5918,0.243468959558975,2571,3202,0.264451758897346,0.240625234838807,10307,0.424034228822973,3773,6180,0.388088870602757,0.464417224017434,186,0.00765211667420908,78,101,0.00802304052664061,0.00758999023070564,222,0.00913317151437857,87,132,0.00894877597202222,0.0099195911926054,683,0.0280989015509935,251,411,0.0258177329767538,0.0308859998497032,4297,0.17678035133912,1834,2317,0.188644311869986,0.174118884797475,2103,0.0865182869132349,1075,927,0.110573955976137,0.0696625836026152,7718,0.31752170156745,3063,4384,0.315058629911541,0.3294506650635,14482,0.595795449870408,5835,8205,0.600185147089076,0.616592770722176,784,0.0322540831859135,244,514,0.0250977165192347,0.0386262869166604,1947,0.0801003826058337,912,974,0.0938078584653363,0.0731945592545277,2497,0.102727609330645,896,1528,0.0921621065624357,0.11482678289622,73,0.00300325009256593,21,51,0.00216004937255709,0.00383256932441572,16254,0.668696260336529,6270,9475,0.644929026949187,0.71203126174194,16847,0.693092524787098,6466,9842,0.66508948775972,0.739610731194108,3828,0.15748549800469,824,2886,0.0847562229993828,0.216878334711054,6332,0.260501090220924,3087,3014,0.317527257765892,0.226497332231157
"21209",14951,27462,22,0.00147147348003478,2,16,0.00065167807103291,0.00153491941673062,1,6.68851581833991e-05,1,0,0.000325839035516455,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000133770316366798,0,2,0,0.000191864927091328,1,6.68851581833991e-05,0,1,0,9.59324635456639e-05,2,0.000133770316366798,1,1,0.000325839035516455,9.59324635456639e-05,16,0.00107016253093439,5,11,0.00162919517758227,0.0010552570990023,1401,0.0937061066149422,328,999,0.106875203649397,0.0958365310821182,2519,0.168483713463982,889,1477,0.289670902574128,0.141692248656946,5224,0.349408066350077,1411,3518,0.459758879113718,0.337490406753645,90,0.00601966423650592,22,62,0.00716845878136201,0.00594781273983116,93,0.00622031971105612,27,60,0.00879765395894428,0.00575594781273983,271,0.0181258778677012,65,185,0.0211795373085696,0.0177475057559478,2211,0.147883084743495,685,1419,0.223199739328772,0.136128165771297,1207,0.0807303859273627,393,756,0.128054740957967,0.0725249424405219,4000,0.267540632733596,1124,2634,0.366243075920495,0.252686108979279,6498,0.434619757875727,1939,4145,0.631801889866406,0.397640061396777,350,0.0234098053641897,71,254,0.0231345715216683,0.0243668457405986,978,0.0654136847033643,368,522,0.119908765070055,0.0500767459708365,1070,0.071567119256237,322,669,0.104920169436298,0.0641788181120491,39,0.00260852116915257,9,27,0.00293255131964809,0.00259017651573292,7426,0.496689184669922,2112,4826,0.688172043010753,0.462970069071374,7917,0.529529797337971,2163,5217,0.704789833822092,0.500479662317728,1915,0.128085077921209,263,1540,0.0856956663408276,0.147735993860322,2576,0.172296167480436,860,1507,0.280221570544151,0.144570222563315
"21210",4641,15258,7,0.00150829562594268,0,4,0,0.00117302052785924,1,0.000215470803706098,0,1,0,0.000293255131964809,0,0,0,0,0,0,0,0,0,0,0,0,2,0.000430941607412196,1,1,0.00206611570247934,0.000293255131964809,0,0,0,0,0,0,1,0.000215470803706098,0,1,0,0.000293255131964809,2,0.000430941607412196,0,2,0,0.000586510263929619,671,0.144580909286792,58,530,0.119834710743802,0.155425219941349,774,0.16677440206852,166,539,0.34297520661157,0.158064516129032,1722,0.3710407239819,232,1324,0.479338842975207,0.388269794721408,25,0.00538677009265245,5,18,0.0103305785123967,0.00527859237536657,26,0.00560224089635854,3,22,0.00619834710743802,0.00645161290322581,72,0.015513897866839,14,52,0.0289256198347107,0.0152492668621701,660,0.142210730446025,118,476,0.243801652892562,0.139589442815249,272,0.0586080586080586,47,193,0.0971074380165289,0.0565982404692082,1216,0.262012497306615,180,901,0.371900826446281,0.264222873900293,2156,0.464555052790347,306,1645,0.632231404958678,0.482404692082111,96,0.0206851971557854,11,77,0.0227272727272727,0.0225806451612903,357,0.0769230769230769,55,269,0.113636363636364,0.0788856304985337,306,0.0659340659340659,40,220,0.0826446280991736,0.0645161290322581,13,0.00280112044817927,1,10,0.00206611570247934,0.00293255131964809,2619,0.56431803490627,334,2034,0.690082644628099,0.596480938416422,2776,0.598146951088128,344,2152,0.710743801652893,0.63108504398827,656,0.1413488472312,52,522,0.107438016528926,0.15307917888563,651,0.14027149321267,153,425,0.316115702479339,0.124633431085044
"21211",11047,16436,12,0.00108626776500407,1,7,0.000490436488474743,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.05223137503395e-05,1,0,0.000490436488474743,0,1,9.05223137503395e-05,0,1,0,0.000142857142857143,1,9.05223137503395e-05,0,1,0,0.000142857142857143,15,0.00135783470625509,4,6,0.00196174595389897,0.000857142857142857,1113,0.100751335204128,207,657,0.101520353114272,0.0938571428571429,2190,0.198243867113243,623,1163,0.305541932319765,0.166142857142857,5725,0.518240246220693,1113,3524,0.545855811672388,0.503428571428571,65,0.00588395039377207,9,48,0.00441392839627268,0.00685714285714286,110,0.00995745451253734,24,74,0.0117704757233938,0.0105714285714286,447,0.0404634742464017,66,236,0.032368808239333,0.0337142857142857,2906,0.263057843758486,623,1725,0.305541932319765,0.246428571428571,1019,0.0922422377115959,252,586,0.123589995095635,0.0837142857142857,4236,0.383452521046438,920,2485,0.451201569396763,0.355,5674,0.513623608219426,1354,3185,0.664051005394801,0.455,279,0.0252557255363447,45,175,0.0220696419813634,0.025,969,0.0877161220240789,307,449,0.150564001961746,0.0641428571428571,1145,0.103648049244139,265,512,0.129965669445807,0.0731428571428571,33,0.0029872363537612,1,19,0.000490436488474743,0.00271428571428571,6476,0.586222503847198,1472,3715,0.721922511034821,0.530714285714286,6835,0.61872001448357,1511,3974,0.741049534085336,0.567714285714286,1406,0.127274373132977,213,912,0.10446297204512,0.130285714285714,2604,0.235720105005884,732,1339,0.358999509563512,0.191285714285714
